Location,Year,outdoor_particulate_matter,indoor_air_pollution,outdoor_ozone_pollution,air_pollution
Indonesia,2017,27.45885025,36.49701995,2.95382923,66.18593255
Iran,2017,43.69164273,0.270711728,2.984056758,46.15391907
Iraq,2017,41.62225829,0.206546238,1.233729123,42.67741934
Ireland,2017,13.20875669,0.230138765,1.403074557,14.66747096
Israel,2017,19.40327541,0.16660773,2.140112888,21.25797356
Italy,2017,14.9644511,0.196540342,1.96691592,16.75889408
Jamaica,2017,31.30987774,9.145154272,1.753347149,41.89005713
Japan,2017,10.29293607,0.026306511,1.263049207,11.38609245
Jordan,2017,37.74667014,0.01931844,2.252344881,39.44835404
Kazakhstan,2017,35.86610137,13.20775629,3.695032177,52.1217876
Kenya,2017,22.71497201,66.45898981,1.878752383,90.34581977
Kiribati,2017,15.17484099,137.0966419,2.278171736,153.7402412
Kuwait,2017,34.11354155,0.048169641,0.909610315,34.7858006
Kyrgyzstan,2017,35.81680589,30.61034948,5.000682981,70.16414517
Laos,2017,26.57508171,90.3679562,4.385622064,119.6857083
Latin America and Caribbean,2017,24.20310074,9.337219501,2.199051031,35.29692722
Latvia,2017,29.68210194,4.088657103,0.58968959,34.25710938
Lebanon,2017,47.52136779,0.010723395,3.067763471,49.84311848
Lesotho,2017,45.49581573,102.0115109,6.753737633,151.9508533
Liberia,2017,9.746902897,102.801722,1.109810313,113.1579596
Libya,2017,70.29779464,0.048323227,3.445258633,72.78869192
Lithuania,2017,31.38625781,0.955867699,0.989474697,33.1730466
Low SDI,2017,55.82968957,83.00646642,15.61301025,147.3158352
Low-middle SDI,2017,50.0250972,50.19592182,10.4780854,106.8536623
Luxembourg,2017,13.84732255,0.128038098,2.345857698,15.97749926
Macedonia,2017,36.2529971,12.37167132,1.855490029,49.98650948
Madagascar,2017,16.3855838,137.594862,1.987128983,155.0695076
Malawi,2017,12.64438931,90.7620248,2.720119115,104.9350842
Malaysia,2017,46.8584811,2.190019631,1.708189299,50.44055047
Maldives,2017,13.18567577,5.974968691,2.628437053,21.43409424
Mali,2017,13.93552762,91.68252958,2.810955901,107.0754058
Malta,2017,21.86008634,0.278692043,1.799162733,23.62493339
Marshall Islands,2017,38.10427055,54.75998213,0.219956037,93.04476503
Mauritania,2017,34.56624942,48.32151087,1.489190404,83.84267118
Mauritius,2017,44.60339225,3.426270277,0.792785212,48.68229857
Mexico,2017,30.12427379,10.83211431,4.451257721,44.40708422
Micronesia (country),2017,32.30545601,57.64769384,0.266785328,90.16464758
Middle SDI,2017,43.80411297,19.00263025,7.606660266,68.01393322
Moldova,2017,39.17150325,9.420438637,1.591486873,49.86823622
Mongolia,2017,46.07859845,34.28080868,1.837518092,81.61391845
Montenegro,2017,29.61053759,17.17675752,1.009761408,47.54888834
Morocco,2017,63.17102389,2.325253116,2.369861011,67.26864668
Mozambique,2017,13.54320931,111.1258092,2.120381059,125.8563334
Myanmar,2017,38.29937346,72.58260824,11.4342447,118.1052463
Namibia,2017,30.42583531,41.62359599,5.064651656,75.60720741
Nepal,2017,64.98809155,57.74157089,18.54532349,133.2611111
Netherlands,2017,16.53646043,0.085337111,2.372488078,18.61250428
New Zealand,2017,8.176373379,0.130938462,0.317151501,8.59875688
Nicaragua,2017,10.92792158,21.76492797,1.029962635,33.43893638
Niger,2017,27.90124883,109.0242846,3.272837492,138.467763
Nigeria,2017,35.36821752,44.65023673,1.994029262,81.22147298
North Africa and Middle East,2017,55.88758288,7.958531857,3.361680653,66.20788699
North America,2017,14.39943416,0.082130147,3.877076077,17.94069374
North Korea,2017,35.78864562,87.42913932,27.72993296,140.4386937
Northern Ireland,2017,15.1307555,0.285850561,1.624561159,16.83439317
Northern Mariana Islands,2017,22.98980175,11.02603966,4.323899364,37.64082826
Norway,2017,9.153368442,0.183158862,1.726015706,10.88894104
Oceania,2017,28.08293165,167.3139068,0.716766127,195.8684592
Oman,2017,52.42601767,0.502894417,1.058163343,53.69908926
Pakistan,2017,60.70407622,55.96422822,10.37840004,123.2154801
Palestine,2017,50.33949466,0.57978953,2.190266095,52.55643163
Panama,2017,14.64861871,6.050155506,0.7392019,21.31222937
Papua New Guinea,2017,25.81642228,218.8779091,0.952873892,245.296404
Paraguay,2017,14.62176656,26.35801294,1.300611556,41.98531211
Peru,2017,17.89055294,11.87558225,0.511672052,30.14589917
Philippines,2017,35.51927631,70.18225729,1.633341712,106.8724834
Poland,2017,29.53041717,3.316359351,1.81119144,34.26669114
Portugal,2017,12.8132229,0.623960069,2.334882317,15.49125211
Puerto Rico,2017,15.7793304,0.127165388,1.200385927,16.96289757
Qatar,2017,60.32076372,0.003858714,2.282447529,61.79388295
Romania,2017,29.52682308,9.549933083,1.662040776,40.41600613
Russia,2017,41.35818505,0.163369309,1.46470254,42.73102728
Rwanda,2017,21.48466904,74.04282801,2.763154915,97.08200324
Saint Lucia,2017,33.99965512,5.211432825,0,39.21108794
Saint Vincent and the Grenadines,2017,38.2127147,10.41422313,0.059680299,48.67290216
Samoa,2017,16.24759917,60.58533753,0.001699245,76.83415608
Sao Tome and Principe,2017,33.31577333,74.22618558,3.860018238,110.0812449
Saudi Arabia,2017,62.14309684,0.162205962,2.6963899,64.07581883
Scotland,2017,14.11334894,0.647409091,1.952404659,16.50679758
Senegal,2017,23.59981668,81.3654671,1.890270569,106.0552118
Serbia,2017,37.63655417,22.92674816,2.738878955,62.57853348
Seychelles,2017,38.22685752,3.660678959,0.555509281,42.32630252
Sierra Leone,2017,16.67988984,131.611501,2.329201901,149.5983372
Singapore,2017,19.29837689,0.035673999,0.809215757,19.98012765
Slovakia,2017,32.47774036,1.629034885,1.564860028,35.36190177
Slovenia,2017,16.79094781,1.56563815,1.691018697,19.72328919
Solomon Islands,2017,18.34299762,168.8177865,0.14896474,187.2542829
Somalia,2017,17.11434118,147.8894878,1.621409677,165.8285822
South Africa,2017,44.64444651,10.9969022,2.923280372,57.85389002
South Asia,2017,66.90052674,52.53805749,15.83877881,128.8032175
South Korea,2017,20.12307511,0.015175744,2.020468181,21.69790199
South Sudan,2017,24.92356244,129.4237858,3.48970446,156.1654699
Southeast Asia,2017,29.8931859,35.01660237,2.809789356,66.89490628
"Southeast Asia, East Asia, and Oceania",2017,44.90832184,21.25422102,9.473460986,72.56410761
Southern Latin America,2017,24.71485624,2.372909583,1.579413338,28.39385664
Southern Sub-Saharan Africa,2017,42.13127547,25.33879122,3.23413429,69.84809263
Spain,2017,11.59834417,0.439644465,2.838956796,14.48129276
Sri Lanka,2017,12.83279698,25.16209966,0.597240139,38.46263658
Sub-Saharan Africa,2017,28.93596419,72.18739463,2.660492464,102.7262742
Sudan,2017,41.76431657,52.43083263,2.404803908,95.70386242
Suriname,2017,36.92001981,11.35105155,0.582342985,48.71442865
Swaziland,2017,39.07458229,63.4518771,5.164878949,106.341769
Sweden,2017,8.040952359,0.175397016,1.289808036,9.39530308
Switzerland,2017,10.03948849,0.188247935,1.729488261,11.70517165
Syria,2017,62.06124074,0.088204618,2.874932139,64.22641351
Taiwan,2017,28.21611917,1.583705492,3.791293467,32.74411356
Tajikistan,2017,52.36181318,39.95346535,2.94450889,94.29643743
United Republic of Tanzania,2017,16.89103741,78.76730456,1.51640746,96.53732288
Thailand,2017,25.44783111,6.704581833,0.87757681,32.81342263
Timor,2017,18.03969053,78.41731941,1.888341155,97.66245516
Togo,2017,24.00627694,89.88397596,2.320647251,115.2294338
Tonga,2017,24.6027424,46.12549056,0.001474957,70.72940437
Trinidad and Tobago,2017,50.54986887,0.870471807,0.49778649,51.80870491
Tropical Latin America,2017,22.75460603,6.051460534,2.131973217,30.58040702
Tunisia,2017,49.35461322,0.189651653,2.812374514,51.6134135
Turkey,2017,43.12637267,0.400058689,4.526615042,46.77557879
Turkmenistan,2017,65.65694225,0.444896732,1.505881817,67.29758186
Uganda,2017,23.13923063,69.22226959,2.436207762,93.71754319
Ukraine,2017,57.85280531,4.875243395,1.458416263,63.88562435
United Arab Emirates,2017,73.72327254,0.278385207,5.292742032,77.84550799
United Kingdom,2017,16.04766925,0.248832546,1.738457585,17.78370015
United States of America,2017,15.04392511,0.089135041,4.142218557,18.82514567
United States Virgin Islands,2017,28.26110512,1.227088107,0.303774205,29.74854604
Uruguay,2017,17.8103914,1.25798039,1.541233959,20.4019747
Uzbekistan,2017,79.784633,23.63350658,2.216787599,105.0869242
Vanuatu,2017,18.80394708,120.4976417,0.520373724,139.6507287
Venezuela,2017,33.0522639,0.472980894,1.501719073,34.74692209
Vietnam,2017,32.80021105,25.63626388,2.634433991,60.3175333
Wales,2017,16.5986085,0.408713817,1.846076957,18.5972317
Western Europe,2017,14.62037454,0.237111235,2.015222793,16.55536413
Western Sub-Saharan Africa,2017,31.86420599,70.14070632,2.134778053,103.2415957
World,2017,38.15435671,21.46604129,6.226275181,63.8229656
Yemen,2017,58.03978474,36.35533376,3.10745115,96.50135105
Zambia,2017,21.53725328,74.84471993,4.015376226,98.86996278
Zimbabwe,2017,26.16618236,96.23599602,4.052494813,125.0288426
